疾患,特徴,所見
急性膵炎,液体貯留,前腎傍腔や膵周囲に液体貯留
急性膵炎,石灰化,通常は見られない
急性膵炎,周囲脂肪織濃度異常,脂肪濃度の低下や脂肪組織のぼやけ
急性膵炎,血管壁の異常,血管周囲の浮腫や炎症の影響で不明瞭
急性膵炎,造影での血流の異常,重症例では膵臓の造影効果の低下
急性膵炎,管腔臓器の異常,膵管の拡張や狭窄
急性膵炎,実質臓器の異常,膵臓自体の腫脹や不均一な造影効果
急性膵炎,臓器外での低吸収域,膵周囲の低吸収域（液体貯留や壊死）
慢性膵炎,液体貯留,慢性炎症が進行した場合、仮性嚢胞として液体貯留
慢性膵炎,石灰化,膵内に散在する石灰化
慢性膵炎,周囲脂肪織濃度異常,脂肪織の線維化が進行し、濃度異常が持続
慢性膵炎,血管壁の異常,膵管の変形や周囲の線維化による血管圧迫
慢性膵炎,造影での血流の異常,線維化により膵実質の造影効果が低下
慢性膵炎,管腔臓器の異常,膵管の不整な拡張や狭窄
慢性膵炎,実質臓器の異常,膵臓の萎縮や不均一な構造
慢性膵炎,臓器外での低吸収域,仮性嚢胞や膵周囲の線維化
膵癌（早期）,液体貯留,進行癌では膵周囲に液体貯留
膵癌（早期）,石灰化,通常は見られないが、偶発的に石灰化を伴う場合あり
膵癌（早期）,周囲脂肪織濃度異常,癌浸潤による脂肪織の濃度異常
膵癌（早期）,血管壁の異常,癌の進展による血管浸潤や圧迫
膵癌（早期）,造影での血流の異常,造影CTで低吸収域（腫瘍部）
膵癌（早期）,管腔臓器の異常,膵管の閉塞や狭窄
膵癌（早期）,実質臓器の異常,膵実質内に腫瘤が形成
膵癌（早期）,臓器外での低吸収域,転移による低吸収域
膵癌（2期以降）,液体貯留,進行癌では膵周囲に液体貯留
膵癌（2期以降）,石灰化,通常は見られないが、偶発的に石灰化を伴う場合あり
膵癌（2期以降）,周囲脂肪織濃度異常,癌浸潤による脂肪織の濃度異常
膵癌（2期以降）,血管壁の異常,癌の進展による血管浸潤や圧迫
膵癌（2期以降）,造影での血流の異常,造影CTで低吸収域（腫瘍部）
膵癌（2期以降）,管腔臓器の異常,膵管の閉塞や狭窄
膵癌（2期以降）,実質臓器の異常,膵実質内に腫瘤が形成
膵癌（2期以降）,臓器外での低吸収域,転移による低吸収域
膵仮性嚢胞,液体貯留,大きな液体貯留が嚢胞として見られる
膵仮性嚢胞,石灰化,嚢胞壁に石灰化が見られることあり
膵仮性嚢胞,周囲脂肪織濃度異常,膵炎に伴う場合、脂肪織の濃度異常
膵仮性嚢胞,血管壁の異常,嚢胞が大きくなると周囲血管を圧迫
膵仮性嚢胞,造影での血流の異常,嚢胞自体は造影されず、周囲の組織の変化
膵仮性嚢胞,管腔臓器の異常,嚢胞による圧迫で膵管や胆管の異常
膵仮性嚢胞,実質臓器の異常,膵実質の変形
膵仮性嚢胞,臓器外での低吸収域,嚢胞が低吸収域として観察
膵腫瘤,液体貯留,大きな腫瘤では膵周囲に液体貯留が見られることあり
膵腫瘤,石灰化,一部の腫瘤では石灰化が見られることあり
膵腫瘤,周囲脂肪織濃度異常,腫瘤の影響で脂肪織の濃度異常
膵腫瘤,血管壁の異常,腫瘤の進展による血管圧迫
膵腫瘤,造影での血流の異常,造影CTで腫瘤部の低吸収域が観察
膵腫瘤,管腔臓器の異常,腫瘤による圧迫で膵管や胆管の異常
膵腫瘤,実質臓器の異常,膵実質内に腫瘤が形成
膵腫瘤,臓器外での低吸収域,転移や嚢胞化による低吸収域
